6.700000, green, 2.121995, 0.045414, green, 2.282585, 5.734837, green, 2.947433, 7.210748, green, 6.049686, 0.640712, red, 2.823964, 3.164062, red, 5.032599, 3.278722, red, 2.093888, 4.649215, red, 8.191310, 7.691338
6.800000, green, 2.176232, 0.045252, greenPlus, 2.249827, 5.778417, green, 2.877734, 7.140531, green, 5.966698, 0.781236, red, 2.702589, 3.269581, red, 4.709521, 3.249147, red, 2.162740, 4.691468, red, 8.289277, 7.467816
6.900000, green, 2.266707, 7.991346, greenPlus, 2.231253, 5.789639, green, 2.880268, 7.175905, green, 5.792192, 0.798769, red, 2.728926, 3.476361, red, 4.700188, 3.151222, red, 2.410387, 4.789075, red, 8.339719, 7.364935
7.000000, green, 2.462190, 0.064751, greenPlus, 2.224495, 5.810611, green, 2.728917, 6.992530, green, 5.767491, 0.930149, red, 2.758513, 3.624396, red, 4.582616, 3.050560, red, 2.337597, 4.786831, red, 8.346812, 7.381226
7.100000, green, 2.531722, 0.088536, greenPlus, 2.115157, 5.831335, green, 2.748641, 6.873669, green, 5.737402, 0.738296, red, 2.717290, 3.798221, red, 4.723229, 3.042450, red, 2.423337, 4.902148, red, 8.155594, 7.348897
7.200000, green, 2.623595, 0.182602, greenPlus, 1.989557, 5.844602, green, 2.875733, 6.637237, green, 5.730998, 0.771336, red, 2.632053, 3.824244, red, 4.744639, 3.034017, red, 2.541927, 4.969735, red, 8.109659, 7.369365
7.300000, green, 2.794508, 0.293499, greenPlus, 1.867214, 5.837750, green, 2.942944, 6.431655, green, 5.735672, 0.616323, red, 2.691977, 3.713757, red, 4.769448, 3.035771, red, 2.630703, 5.135887, red, 8.248077, 7.316707
7.400000, green, 2.676051, 0.419339, greenPlus, 1.608534, 5.646915, green, 2.955119, 6.447840, green, 5.729849, 0.680138, red, 2.639418, 3.727156, red, 4.787544, 2.864796, red, 2.501302, 5.253183, red, 8.347343, 7.163008
7.500000, green, 2.904054, 0.500914, greenPlus, 1.470835, 5.497652, green, 2.982160, 6.297981, green, 5.701940, 0.519017, red, 2.627102, 3.560009, red, 4.816759, 2.728977, red, 2.656756, 5.269031, red, 8.240399, 6.937856
7.600000, green, 2.913183, 0.493765, greenPlus, 1.312160, 5.504755, greenPlus, 2.844919, 6.167002, green, 5.630378, 0.353338, red, 2.515148, 3.666155, red, 4.770680, 2.758029, red, 2.949921, 5.153242, red, 8.150882, 6.654786
7.700000, green, 2.996006, 0.566454, greenPlus, 1.195923, 5.379609, greenPlus, 2.758127, 6.140228, green, 5.575008, 0.435071, red, 2.408180, 3.723381, red, 4.812081, 2.634544, red, 2.981467, 5.107089, red, 8.067909, 6.743961
7.800000, green, 3.013978, 0.675690, greenPlus, 1.023852, 5.356581, greenPlus, 2.715599, 6.121733, green, 5.688942, 0.380442, red, 2.339428, 3.704022, red, 4.773061, 2.733656, red, 2.804453, 5.038331, red, 7.891735, 6.798168
7.900000, green, 3.295682, 0.729315, greenPlus, 0.849278, 5.113791, greenPlus, 2.881934, 6.000079, green, 5.654795, 0.499049, red, 2.219896, 3.785259, red, 4.849667, 2.681888, red, 3.027023, 4.991460, red, 7.948093, 6.814057
8.000000, green, 3.408859, 0.664056, greenPlus, 0.815324, 5.108862, greenPlus, 2.903941, 6.068067, green, 5.488427, 0.446368, red, 2.337255, 3.834080, red, 4.987201, 2.638540, red, 3.139090, 4.925833, red, 7.658551, 6.778120
8.100000, green, 3.447367, 0.640270, greenPlus, 0.668837, 4.983578, greenPlus, 2.816393, 5.976640, green, 5.260310, 0.384025, red, 2.234441, 3.926822, red, 5.006317, 2.560814, red, 3.225139, 4.832201, red, 7.647015, 6.668805
8.200000, green, 3.400459, 0.453792, greenPlus, 0.783694, 4.843036, greenPlus, 2.791475, 6.000550, green, 5.195955, 0.343579, red, 2.345101, 3.979658, red, 4.956523, 2.515490, red, 3.378599, 4.925860, red, 7.607499, 6.556531
8.300000, green, 3.219497, 0.486428, greenPlus, 0.753790, 4.834613, greenPlus, 2.667832, 5.983081, green, 5.066025, 0.185427, red, 2.244053, 4.084564, red, 4.749984, 2.531542, red, 3.593665, 4.980024, red, 7.413289, 6.472279
