0.250000, greenPlus, 0.532540, 0.189862, greenPlus, 1.850299, 3.151427, greenPlus, 0.450335, 5.224976, greenPlus, 1.793419, 0.316342, greenPlus, 2.103696, 3.647169, greenPlus, 2.077066, 5.805849, greenPlus, 0.120718, 5.918638, greenPlus, 5.150595, 1.820831, greenPlus, 5.570832, 4.898148, red, 1.241081, 1.027506, red, 1.132826, 4.881632, red, 1.574429, 5.743193, red, 2.624613, 2.126731, red, 2.457675, 4.353455, red, 2.449931, 4.809670, red, 5.737714, 1.182979, red, 4.140546, 4.289337, red, 5.808557, 0.318886
0.260000, greenPlus, 0.415169, 0.283836, greenPlus, 1.922037, 3.290579, greenPlus, 0.526133, 5.435930, greenPlus, 2.213821, 0.280860, greenPlus, 2.036755, 3.886340, greenPlus, 2.338708, 5.752424, greenPlus, 0.137678, 5.749410, greenPlus, 5.109212, 1.826888, greenPlus, 5.579387, 4.828491, red, 1.223916, 0.876885, red, 1.153633, 4.750259, red, 1.359126, 5.817451, red, 2.453324, 2.056571, red, 2.500342, 4.521784, red, 2.489677, 4.978928, red, 5.682765, 1.104669, red, 4.030129, 4.412357, red, 5.655517, 0.420422
0.270000, greenPlus, 0.467858, 0.482176, greenPlus, 1.800598, 3.545726, greenPlus, 0.474464, 5.461069, greenPlus, 2.219227, 0.384610, greenPlus, 2.128957, 3.782113, greenPlus, 2.140078, 5.489152, greenPlus, 0.309218, 5.764008, greenPlus, 4.870775, 1.963793, greenPlus, 5.704428, 4.805983, red, 1.074462, 1.227449, red, 1.179205, 4.626634, red, 1.476526, 5.831053, red, 2.278309, 1.963491, red, 2.530639, 4.592052, red, 2.610350, 5.146296, red, 5.866428, 0.982985, red, 3.997258, 4.399563, red, 5.696269, 0.519275
0.280000, greenPlus, 0.265308, 0.474457, greenPlus, 1.734669, 3.477338, greenPlus, 0.483941, 5.407207, greenPlus, 2.504454, 0.450080, greenPlus, 2.219211, 3.934591, greenPlus, 2.129812, 5.686247, greenPlus, 0.553822, 5.797823, greenPlus, 4.765775, 1.973020, greenPlus, 5.583112, 4.839165, red, 1.089507, 1.342571, red, 1.219565, 4.719941, red, 1.373403, 0.011441, red, 2.334855, 2.377774, red, 2.321214, 4.663066, red, 2.346937, 5.307177, red, 5.799671, 0.884823, red, 4.094094, 4.168869, red, 5.694453, 0.539447
0.290000, greenPlus, 5.986832, 0.264682, greenPlus, 1.706733, 3.270438, greenPlus, 0.502298, 5.441456, greenPlus, 2.478145, 0.519362, greenPlus, 2.183357, 4.034803, greenPlus, 2.286429, 5.630509, greenPlus, 0.666819, 5.817320, greenPlus, 4.963316, 1.889043, greenPlus, 5.638107, 5.067468, red, 1.266909, 1.164475, red, 1.269645, 4.613237, red, 1.564445, 0.191177, red, 2.296751, 2.386301, red, 2.234226, 4.491477, red, 2.275624, 5.329155, red, 5.873362, 0.868467, red, 4.050019, 3.955471, red, 5.469351, 0.567506
0.300000, greenPlus, 5.847903, 0.586266, greenPlus, 1.768633, 3.238730, greenPlus, 0.332279, 5.450008, greenPlus, 2.338148, 0.509478, greenPlus, 2.133870, 3.891423, greenPlus, 2.562450, 5.387886, greenPlus, 0.601946, 5.979442, greenPlus, 5.074166, 2.151675, greenPlus, 5.627017, 5.104110, red, 1.453051, 1.015850, red, 1.271746, 4.817634, red, 1.622506, 0.371158, red, 2.207471, 2.231990, red, 2.250200, 4.360664, red, 2.674272, 5.237331, red, 5.870763, 0.772833, red, 3.885555, 4.112742, red, 5.354629, 0.656887
0.310000, greenPlus, 5.833059, 0.311678, greenPlus, 1.844585, 3.515840, greenPlus, 0.457185, 5.331648, greenPlus, 2.248841, 0.500343, greenPlus, 2.336711, 3.817814, greenPlus, 2.832508, 5.375359, greenPlus, 0.846422, 5.941668, greenPlus, 5.170000, 1.888857, greenPlus, 5.509372, 5.062351, red, 1.489669, 0.899166, red, 1.361536, 4.893750, red, 1.639735, 0.226586, red, 2.460099, 2.123938, red, 2.212450, 4.552238, red, 2.668325, 5.093032, red, 0.204245, 0.648433, red, 3.677926, 4.168549, red, 5.524371, 0.636376
0.320000, greenPlus, 5.664505, 0.228696, greenPlus, 1.765646, 3.694044, greenPlus, 0.247684, 5.530128, greenPlus, 2.045662, 0.432298, greenPlus, 2.131425, 3.794250, greenPlus, 2.916336, 5.450920, greenPlus, 0.728731, 5.772058, greenPlus, 5.080448, 2.021664, greenPlus, 5.923982, 4.938756, red, 1.633433, 1.199301, red, 1.570736, 4.779003, red, 1.496840, 0.240351, red, 2.411043, 2.133572, red, 2.092357, 4.661462, red, 2.691252, 5.160491, red, 0.229845, 0.807570, red, 3.412481, 4.327609, red, 5.514131, 1.015856
0.330000, greenPlus, 5.632538, 0.472862, greenPlus, 1.566461, 3.819098, greenPlus, 0.255996, 5.791242, greenPlus, 2.048040, 0.115382, greenPlus, 2.064677, 3.720985, greenPlus, 3.083577, 5.388284, greenPlus, 0.984977, 5.916913, greenPlus, 4.978865, 1.743507, greenPlus, 5.845668, 4.909328, red, 1.384439, 1.191335, red, 1.460309, 4.878631, red, 1.484880, 0.094860, red, 2.463830, 2.104006, red, 1.995272, 4.694476, red, 2.648996, 5.274777, red, 0.285742, 0.659908, red, 3.366268, 4.464868, red, 5.662603, 1.147195
0.340000, greenPlus, 5.405669, 0.491735, greenPlus, 1.611912, 3.808143, greenPlus, 0.398782, 0.059422, greenPlus, 1.922504, 0.209891, greenPlus, 1.962679, 3.875744, greenPlus, 3.063262, 5.739620, greenPlus, 0.962226, 5.996438, greenPlus, 5.085333, 1.909971, greenPlus, 5.739996, 5.153978, red, 1.518349, 1.213793, red, 1.436246, 4.872778, red, 1.249246, 5.930862, red, 2.390514, 2.239397, red, 1.998078, 4.683684, red, 2.702078, 5.401605, red, 0.278459, 0.669966, red, 3.174594, 4.638159, red, 5.615223, 1.168111
0.350000, greenPlus, 5.376714, 0.331889, greenPlus, 1.503077, 3.829790, greenPlus, 0.570131, 0.109711, greenPlus, 2.119789, 0.261315, greenPlus, 2.108065, 4.038119, greenPlus, 3.355791, 5.553470, greenPlus, 0.790281, 5.899241, greenPlus, 5.004874, 1.843982, greenPlus, 5.774974, 5.146307, red, 1.728012, 1.366267, red, 1.431800, 4.809678, red, 1.276336, 5.794269, red, 2.191977, 2.129022, red, 1.979374, 4.623846, red, 2.769585, 5.226762, red, 0.268229, 0.638600, red, 3.196450, 4.599706, red, 5.594675, 1.199204
0.360000, greenPlus, 5.329015, 0.163171, greenPlus, 1.362915, 3.586807, greenPlus, 0.370022, 5.829076, greenPlus, 2.292552, 0.173713, greenPlus, 2.137484, 4.100241, greenPlus, 3.224082, 5.416107, greenPlus, 0.926766, 0.167300, greenPlus, 4.943232, 1.886718, greenPlus, 5.942754, 5.114746, red, 1.800623, 1.332004, red, 1.675466, 4.720665, red, 1.210293, 5.999913, red, 2.132510, 1.987641, red, 1.865667, 4.736714, red, 2.774415, 5.155653, red, 0.298671, 0.692574, red, 3.256350, 4.760570, red, 5.439985, 1.286153
0.370000, greenPlus, 5.326708, 0.067910, greenPlus, 1.380127, 3.501111, greenPlus, 0.174165, 5.690397, greenPlus, 2.153965, 0.327394, greenPlus, 1.854991, 4.064573, greenPlus, 3.174848, 5.265672, greenPlus, 0.848145, 0.205487, greenPlus, 5.073382, 1.933813, greenPlus, 0.040367, 5.152075, red, 1.859783, 1.327174, red, 1.724919, 4.611430, red, 1.251142, 5.840953, red, 2.016567, 1.965945, red, 2.104526, 4.724011, red, 2.682275, 5.123931, red, 0.170205, 0.414387, red, 3.563286, 4.709259, red, 5.457157, 1.583993
0.380000, greenPlus, 5.398103, 0.045671, greenPlus, 1.189378, 3.573066, greenPlus, 0.247318, 5.431303, greenPlus, 2.149099, 0.646631, greenPlus, 1.930678, 4.101929, greenPlus, 3.142216, 4.892799, greenPlus, 1.016786, 0.576252, greenPlus, 5.029406, 2.036788, greenPlus, 0.071445, 5.219419, red, 1.591047, 1.005349, red, 1.607560, 4.651170, red, 1.349416, 5.769647, red, 1.832229, 2.227629, red, 2.006313, 4.893403, red, 2.699580, 4.952569, red, 0.161723, 0.294908, red, 3.560602, 4.855001, red, 5.604293, 1.698930
0.390000, greenPlus, 5.397380, 0.170334, greenPlus, 1.281150, 3.586248, greenPlus, 5.880680, 5.601633, greenPlus, 2.061122, 0.701971, greenPlus, 1.933794, 4.219029, greenPlus, 3.051903, 5.038329, greenPlus, 1.080749, 0.540964, greenPlus, 5.063976, 2.040841, greenPlus, 0.025220, 5.061420, red, 1.595399, 1.005714, red, 1.601513, 4.562369, red, 1.477115, 5.674325, red, 1.667665, 2.144922, red, 2.048780, 4.930782, red, 2.570580, 5.048885, red, 0.356462, 0.203037, red, 3.688795, 4.901149, red, 5.561069, 1.822437
